,hardware_model,instrument_name,serial_numbers,transmit_frequency,phased_array,cruise_beg_date,blanking_interval,bin_length,transducer_beam_angle,transmit_pulse_length,comments,bw_from_comments,bw_from_hardware_model,bw_from_transmit_frequency,bandwidth
0,RD-VM150,VM-150,,150 kHz except,,1992-11-08 02:21:12.000000000,4 m,8 m,30 deg,8 m,"very little bottom tracking///At several points during this cruise, we switched",,,,
1,RD-VM150,VM-150,,,,1992-12-12 02:18:41.000000000,4 m,8 m,,8 m,,,,,
2,RD-VM150,VM-150,,,,1993-01-23 09:47:09.000000000,4 m,8 m,,16 m,,,,,
3,RD-VM150,VM-150,,153 kHz,,1992-10-27 23:36:48.999999996,4 m,8 m,30 deg.,16 m,data quality good,,,,
4,RD-VM0150,VM-150,,153 kHz,,1992-12-02 07:00:53.999999996,4m,8m,30 deg.,8m,,,,,
5,RD-VM150,VM-150,,153 kHz,,1993-01-22 23:11:39.000000000,4 m,4 m,30 deg.,8 m,data quality good,,,,
6,RD-VM150,VM-150,,153 kHz,,1993-03-03 08:48:49.000000000,4 m,4 m,30 deg.,8 m,3-beam solution used almost all of cruise///GPS available for entire cruise.///data quality good,,,,
7,RD-VM150,VM-150,,153 kHz,,1993-04-04 05:14:37.000000000,4 m,8 m,30 deg.,16 m,GPS available for entire cruise.///Additional notes on gyrocompass correction:///data quality good,,,,
8,RD-VM150,VM-150,,153 kHz,,1993-04-21 22:02:55.000000000,4 m,8 m,30 deg.,16 m,clean///GPS available for entire cruise.,,,,
9,RD-VM150,VM-150,,153 kHz,,1993-06-04 21:41:49.000000000,4m,8 m,30 deg.,16 m,clean///GPS available for entire cruise.,,,,
10,RD-VM150,VM-150,,153 kHz,,1993-06-21 00:27:14.000000000,4m,8 m,30 deg.,16 m,clean,,,,
11,RD-VM150,VM-150,,153 kHz,,1992-12-13 02:00:39.999999996,4 m,4 m,30 deg.,8 m,Because there is no gps logged///There are a few short pieces of ADCP gaps.///data quality good,,,,
12,RD-VM150,VM-150,,153 kHz,,1992-10-06 02:33:52.000000000,4 m,8 m,30 deg,8 m,"time correction applied, clock rate = 0.9996931///ran using 11, 15, 17, and 19 fixes///data quality good",,,,
13,RD-VM150,VM-150,,153 kHz,,1992-12-04 18:48:33.000000000,4 m,8 m,30 deg,16 m,data quality good,,,,
14,RDI,ZUNCLEAR: RDI,,,,1993-02-22 21:39:07.000000000,4 m,8 m,30 deg,16 m,data quality good,,,,
15,RD-VM150,VM-150,,153 kHz,,1993-06-29 13:59:19.999999998,4 m,4 m,30 deg.,16 m,3-beam solutions were///data quality good,,,,
16,RD-VM150,VM-150,,153 kHz,,1993-08-13 20:34:03.000000000,4 m,8 m,30 deg.,16 m,3-beam solutions were used during data acquisition///data quality good,,,,
17,RD-VM150,VM-150,,153 kHz,,1993-11-13 22:50:52.000000004,4 m,8 m,30 deg.,16 m,3-beam solutions were used during data acquisition///no major problems///data quality good,,,,
18,RD-VM150,VM-150,,153 kHz,,1991-05-31 15:33:42.000000002,4 m,8 m,30 deg,8 m,"Editing was performed for CTD wire interference,///The adcpcal estimates indicated that the///Pretty clean, except for those profiles for",,,,
19,RD-VM150,VM-150,,153 kHz,,1991-07-17 04:03:44.000000000,4 m,8 m,30 deg,8 m,"Mostly CTD wire interference, edited out.///The adcpcal estimates indicated that the///Very clean, no editing of fixes done.",,,,
20,RD-VM150,VM-150,,153 kHz,,1991-09-01 02:08:56.000000000,4 m,8 m,30 deg,8 m,"Mostly CTD wire interference, edited out.///The adcpcal estimates indicated that the///A few bad fixes were edited out.",,,,
21,RDI,ZUNCLEAR: RDI,,153 KHz,,1986-01-12 21:05:56.000000000,2 m,8 m,30 deg,8 m,ok,,,,
22,RDI,ZUNCLEAR: RDI,,153 KHz,,1988-06-18 01:10:21.000000000,2 m,8 m,30 deg,16 m,this database includes Leg 1 and Leg 2,,,,
23,RDI,ZUNCLEAR: RDI,,153 KHz,,1991-04-23 05:44:36.000000000,4 m,8 m,30 deg,16 m,sampling interval varied from 1 to 2.5 to 5 minutes:///some bottom interference was flagged;///Most of the Transit fixes were edited out of the///ok,,,,
24,RDI,ZUNCLEAR: RDI,,153 KHz,,1991-08-01 22:28:24.000000000,4 m,8 m,30 deg,16 m,"transect through an eddy SW of Big Island, Hawaii///GPS hand-edited based on plots of callrefp///ok",,,,
25,RD-VM150,VM-150,,153 kHz,,1992-07-09 19:05:59.999999998,4 m,8 m,30 deg.,8 m,commented out the transit fixes;///data quality good,,,,
26,RD-VM150,VM-150,,153 kHz,,1992-08-23 19:25:20.000000000,4 m,8 m,30 deg.,16 m,"some bottom problems, bad bins///At first, a gyro model-based correction///only GPS fixes used; one-hour filter-width///ok",,,,
27,RD-VM150,VM-150,,153 kHz,,1993-09-20 18:07:09.000000000,4m,8 m,30 deg.,16 m,There are only two usable data points,,,,
28,RD-VM150,VM-150,,153 kHz,,1993-09-25 19:05:54.000000000,4m,8 m,30 deg.,16 m,The 7-ensemble window was chosen over///ok,,,,
29,RD-VM150,VM-150,,153 kHz,,1993-10-03 19:30:27.000000000,4m,8 m,30 deg.,16 m,ok,,,,
30,RD-VM150,VM-150,,153 kHz,,1993-10-08 22:02:43.000000000,4m,8 m,30 deg.,16 m,Edited out the bottom to clean up the navigation plot.///ok,,,,
31,RD-VM150,VM-150,,153 kHz,,1993-10-12 17:35:33.000000000,4m,8 m,30 deg.,16 m,There are quite a few short gaps due to the bottom.///ok,,,,
32,RD-VM150,VM-150,,153 kHz,,1994-02-20 20:41:48.000000000,4m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
33,RD-VM150,VM-150,,153 kHz,,1994-02-27 21:58:31.000000000,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///normal; no gps gaps///ok,,,,
34,RD-VM150,VM-150,,153 kHz,,1994-03-16 00:32:47.000000001,4 m,8 m,30 deg.,16 m,normal editing procedure; no major problems///ok,,,,
35,RD-VM150,VM-150,,153 kHz,,1994-04-11 08:32:39.000000000,4 m,8 m,30 deg.,16 m,ok,,,,
36,RD-VM150,VM-150,,153 kHz,,1992-04-17 07:26:03.000000000,4 m,8 m,30 deg.,8 m,data quality good,,,,
37,DCP4400A,DCP4400A,,115 kHz along 3 beams,,1985-06-16 06:24:11.000000000,,"mostly 3.2 m, occasionally 6.4 m",,,The upper 30 m are unreliable while the///The data were inspected and manually edited.///Joyce attempted to calibrate the ADCP on///The half-power point of the filter (6 hour)///ok,,,,
38,VM-150,VM-150,,153 KHz,,1988-10-30 03:23:47.999999996,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
39,VM-150,VM-150,,153 KHz,,1988-12-01 04:16:34.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
40,VM-150,VM-150,,153 KHz,,1989-01-07 07:37:30.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
41,VM-150,VM-150,,153 KHz,,1989-03-26 00:43:24.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
42,VM-150,VM-150,,153 KHz,,1989-10-17 04:43:11.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
43,VM-150,VM-150,,153 KHz,,1989-11-27 06:31:23.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
44,VM-150,VM-150,,153 KHz,,1990-01-03 17:50:01.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///lots of gaps///The orientation of the transducer relative///ok,,,,
45,VM-150,VM-150,,153 KHz,,1990-04-11 18:47:57.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///fixed 2-minute intervals///gaps filled with Transit///The orientation of the transducer relative///ok,,,,
46,VM-150,VM-150,,153 KHz,,1990-06-11 22:04:06.000000002,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///fixed 2-minute intervals///gaps filled with Transit; exceptionally noisy///The orientation of the transducer relative///ok,,,,
47,VM-150,VM-150,,153 KHz,,1990-09-13 18:33:29.000000000,4 m,8 m,30 deg,16 m,some bottom interference was flagged;///screened for suitable elevation and other///no big gaps///The orientation of the transducer relative///ok,,,,
